_id,archived,contentUrl,datetime,deleted,id,location.coordinates,location.type,markerColor.rgbFill,markerColor.rgbOutline,markerColors.rgbFill,markerColors.rgbOutline,position.lat,position.lng,posttime,snippetImage,snippetText,tags,title,userId
robbearman/20200225172703099,false,accounts/us-east-1:158a74f0-ad1c-4176-a779-0733640a64bd/html/20200225172703099.html,2020-01-28T16:00:00.000Z,false,robbearman/20200225172703099,"[-107.5337661,-73.427343]",Point,,,null,null,-73.427343,-107.5337661,2020-02-25T17:27:03.099Z,accounts/us-east-1:158a74f0-ad1c-4176-a779-0733640a64bd/images/20200225172703099/1.jpg,"Glaciologists have described Thwaites Glacier as the “most important” glacier in the world, the “riskiest” glacier, even the “doomsday” glacier.","[""Antarctica"",""Exploring the World"",""News"",""Climate Change"",""Global Warming"",""Thwaites Glacier"",""Videos"",""YouTube""]",Antarctica melting: Journey to the ‘doomsday glacier’ - BBC News,robbearman
nytimes/20200218181709703,false,accounts/us-east-1:bf02ac13-dc22-4dd7-825f-55c67fd7ce18/html/20200218181709703.html,2020-02-18T16:00:00.000Z,false,nytimes/20200218181709703,"[-77.461682,38.302909]",Point,,,null,null,38.302909,-77.461682,2020-02-18T18:17:09.703Z,accounts/us-east-1:bf02ac13-dc22-4dd7-825f-55c67fd7ce18/images/20200218181709703/1.jpg,"An auction block near the former site of the Planter’s Hotel, outside which slave auctions were held. In 1984, a plaque was placed here that reads “Fredericksburg’s Principal Auction Site in Pre-Civil War Days for Slaves and Property.” The City Council in June voted to relocate the block to a nearby museum.","[""1619 Project"",""Fredericksburg"",""History"",""News"",""Slavery"",""They Sold Human Beings Here"",""United States"",""Virginia""]","Corner of Charles and William Streets, Fredericksburg, Va. Marked",nytimes
miawilson/20200124235605432,false,accounts/us-east-1:9b2500ca-4708-4cab-83a1-326add811f5d/html/20200124235605432.html,2019-11-17T15:30:00.000Z,false,miawilson/20200124235605432,"[14.518077,35.897371]",Point,,,null,null,35.897371,14.518077,2020-01-24T23:56:05.432Z,accounts/us-east-1:9b2500ca-4708-4cab-83a1-326add811f5d/images/20200124235605432/1.jpg,Malta’s capital is a pretty city worth exploring. Transport will drop you off outside the city gates; there are strict rules about who is allowed to drive inside.,"[""Europe"",""Exploring the World"",""Malta"",""Mediterranean Sea"",""Valletta"",""Views""]",Valletta,miawilson
robbearman/20200224002724304,false,accounts/us-east-1:158a74f0-ad1c-4176-a779-0733640a64bd/html/20200224002724304.html,2020-02-22T19:11:00.011Z,false,robbearman/20200224002724304,"[-122.480878,37.848003]",Point,,,null,null,37.848003,-122.480878,2020-02-24T00:27:24.304Z,accounts/us-east-1:158a74f0-ad1c-4176-a779-0733640a64bd/images/20200224002724304/1.jpg,"On 2nd and Valley Streets in Sausalito, I thought I‘d have to come back for lunch or dinner here sometime.","[""California"",""Restaurants"",""Sausalito"",""United States""]",Aurora Ristorante Italiano,robbearman
robbearman/201809021430,false,accounts/us-east-1:158a74f0-ad1c-4176-a779-0733640a64bd/html/emeraldbay.html,2018-09-02T14:30:00.000Z,false,robbearman/201809021430,"[-120.109097,38.954186]",Point,,,null,null,38.954186,-120.109097,2019-12-04T15:30:00.000Z,accounts/us-east-1:158a74f0-ad1c-4176-a779-0733640a64bd/images/emeraldbay/1.jpg,"We got up early, before 5am, to make the drive from North Shore down to Emerald Bay before sunrise to catch these iconic photos. It was Mia's idea, so there was not a hint of complaint to be heard on the way in the car. After all, she was asleep.","[""California"",""Emerald Bay"",""Exploring the World"",""Lakes"",""Lake Tahoe"",""Mountains"",""Sierras"",""United States"",""Views""]",Emerald Bay,robbearman
nytimes/201911200200,false,accounts/us-east-1:bf02ac13-dc22-4dd7-825f-55c67fd7ce18/html/crosstowntrail-8.html,2019-11-20T02:00:00.000Z,false,nytimes/201911200200,"[-122.494862,37.786724]",Point,,,null,null,37.786724,-122.494862,2019-11-20T08:00:00.007Z,accounts/us-east-1:bf02ac13-dc22-4dd7-825f-55c67fd7ce18/images/crosstowntrail-8/1.jpg,"And finally — me limping, Bob fine — we get to the payoff.","[""California"",""ctold"",""San Francisco"",""Tours"",""Trails"",""United States""]",Crosstown Trail: Lands End,nytimes
robbearman/20191229174057006,false,accounts/us-east-1:158a74f0-ad1c-4176-a779-0733640a64bd/html/20191229174057006.html,2019-12-28T18:15:00.000Z,false,robbearman/20191229174057006,"[-122.447742,37.759906]",Point,,,null,null,37.759906,-122.447742,2019-12-29T17:40:57.006Z,accounts/us-east-1:158a74f0-ad1c-4176-a779-0733640a64bd/images/20191229174057006/1.jpg,"""I've lived here most of my life,"" I said to Dave as we took in the 270-degree view from the top of Tank Hill. ""But I've never been here. Amazing.""","[""California"",""Exploring the World"",""San Francisco"",""Tank Hill"",""United States"",""Views""]",Tank Hill,robbearman
nytimes/20200218184847857,false,accounts/us-east-1:bf02ac13-dc22-4dd7-825f-55c67fd7ce18/html/20200218184847857.html,2020-02-18T16:00:00.000Z,false,nytimes/20200218184847857,"[-90.190995,38.623068]",Point,,,null,null,38.623068,-90.190995,2020-02-18T18:48:47.857Z,accounts/us-east-1:bf02ac13-dc22-4dd7-825f-55c67fd7ce18/images/20200218184847857/1.jpg,"On this site were the slave pens of Bernard Lynch, who ran one of the largest slave markets in St. Louis. What remained of the pens was demolished in 1963 to make way for Busch Stadium, home of the St. Louis Cardinals.","[""1619 Project"",""History"",""Missouri"",""News"",""St. Louis"",""Slavery"",""They Sold Human Beings Here"",""United States""]","Corner of Broadway and Clark, St. Louis, Mo. Unmarked",nytimes
nytimes/201912070801,false,accounts/us-east-1:bf02ac13-dc22-4dd7-825f-55c67fd7ce18/html/brexit-1.html,2019-12-07T08:01:00.000Z,false,nytimes/201912070801,"[-1.217947,53.201949]",Point,,,null,null,53.201949,-1.217947,2019-12-07T08:01:00.000Z,accounts/us-east-1:bf02ac13-dc22-4dd7-825f-55c67fd7ce18/images/brexit-1/1.jpg,"As Britain heads for an election, a Times reporter spent two weeks driving from London to Glasgow. He found a country united only by its disunity.","[""Brexit"",""Britain"",""England"",""Exploring the World"",""Journey Through Brexit"",""Shirebrook"",""UK""]",Splintered Isle: A Journey Through Brexit Britain,nytimes
compassburlingame/20200101174200739,false,accounts/us-east-1:3e3959c9-42d5-47b0-b8e5-601f91369cfa/html/20200101174200739.html,2020-01-01T17:41:00.000Z,false,compassburlingame/20200101174200739,"[-122.343339,37.58215]",Point,,,null,null,37.58215,-122.343339,2020-01-01T17:42:00.739Z,accounts/us-east-1:3e3959c9-42d5-47b0-b8e5-601f91369cfa/images/20200101174200739/1.jpg,"Washington Park sparkles under blue skies with expansive lawns, safe playground structures for young children, basketball and tennis courts, baseball diamonds, as well as picnic tables, restrooms, and even Bocce Ball courts.","[""Burlingame"",""California"",""Parks"",""Real Estate Demo"",""United States""]",Washington Park,compassburlingame
